Sous dossiers,Type de document,Commercial,Pièces contractuelles,Gestion,Juridique,Pilotage technique
,Compte de résultats / stats assureurs / bilan de gestion,,,,,X
,Contrat - avenants,,X,,,
,Conditions générales / particulières,,X,,,
,Notice d’information,,X,,,
,DUE / accord collectif,,,,X,
,CCN,,,,X,
,KBIS,,,,X,
,FIC (devoir de conseil),,,,X,
,Mandat,,,,X,
,Convention de courtage,,,,X,
,Résiliation,,,,X,
,Autres,,,,X,
Relation client ,Bilan & Perspectives,X,,,,
,Présentation CSE,X,,,,
,Bilan de gestion,X,,,,
,Restitution audit et appels d’offres ,X,,,,
,Propositions commerciales,X,,,,
,Accords dérogatoires assureurs,X,,,,
,Renouvellements actés,X,,,,
Etudes,Audit,X,,,,
,Appels d'offres,X,,,,
,Simulations / amélioration de garanties,X,,,,
,Analyses spécifiques (services ou autres),X,,,,
,Mise en conformité CCN,X,,,,
,Cahier des charges,X,,,,
Données brutes,Fichier d'affiliation / radiation / portabilité / retraité,,,X,,
,Extraction salariés (mailing),,,X,,
Gestion courante,Guide de gestion,,,X,,
,Tableau de garanties excel,,,X,,
,BIA / Désignation de bénéficiaire / autres formulaires de gestion,,,X,,
,Bilan de gestion,,,X,,
Communication,Flyer de bienvenue,,,X,,
,Affiches,,,X,,
,Services (carnet des services),,,X,,
,Webinaire salariés,,,X,,
